country,total_medals,Ladder score,z_medals,z_ladder_score,z_diff
Norway,37,7.488,-0.7507664795050897,1.4943810386826326,2.2451475181877223
United States,126,6.725,2.4310533622069572,0.23056732496632773,2.2004860372406294
China,88,5.95,1.0725235421501282,-1.0531228822815553,2.1256464244316833
Russia,62,5.646,0.14300313895335043,-1.556660718414919,1.6996638573682694
Canada,44,7.232,-0.5005109863367265,1.0703491766755895,1.570860163012316
Australia,55,7.183,-0.10725235421501282,0.9891868280883033,1.0964391823033162
Germany,60,6.995,0.07150156947667521,0.6777884294268816,0.6062868599502064
Brazil,25,6.235,-1.179775896365141,-0.5810561609065267,0.5987197354586143
Japan,41,5.915,-0.6077633405517393,-1.1110959884153309,0.5033326478635916
France,42,6.489,-0.5720125558134017,-0.16033704782141456,0.41167550799198716
